sample_id,batch_id,enzyme_activity_U_mL,protein_concentration_mg_mL,purity_pct,hplc_main_peak_pct,analytical_method,instrument_id,analyst,qc_status
S00001,B2026-0001,806.6,12.1,93.02,94.72,HPLC-ENZ-204,HPLC-01,Analyst_A,Hold
S00002,B2026-0002,886.8,12.01,94.46,93.89,HPLC-ENZ-204,HPLC-03,Analyst_A,Hold
S00003,B2026-0003,814.5,11.25,94.63,94.84,HPLC-ENZ-204,HPLC-02,Analyst_A,Released
S00004,B2026-0004,759.2,12.31,94,93.47,HPLC-ENZ-204,HPLC-03,Analyst_C,Released
S00005,B2026-0005,821.8,11.77,93.76,95.01,HPLC-ENZ-204,HPLC-03,Analyst_C,Released
S00006,B2026-0006,742.4,11.19,92.28,92.9,HPLC-ENZ-204,HPLC-02,Analyst_D,Hold
S00007,B2026-0007,715.1,14.96,91.64,91.16,HPLC-ENZ-204,HPLC-03,Analyst_A,Released
S00008,B2026-0008,686.2,13.11,91.21,91.57,HPLC-ENZ-204,HPLC-01,Analyst_A,Released
S00009,B2026-0009,809.4,13.24,94.33,94.51,HPLC-ENZ-204,HPLC-03,Analyst_B,Released
S00010,B2026-0010,857.8,13.65,94.07,93.71,HPLC-ENZ-204,HPLC-02,Analyst_C,Hold
S00011,B2026-0011,806.5,13.5,91.38,91.91,HPLC-ENZ-204,HPLC-03,Analyst_A,Released
S00012,B2026-0012,823.8,11.96,92.38,92.65,HPLC-ENZ-204,HPLC-01,Analyst_A,Released
S00013,B2026-0013,834.6,12.85,95.25,95.4,HPLC-ENZ-204,HPLC-01,Analyst_B,Released
S00014,B2026-0014,926.8,12.15,93.97,93.95,HPLC-ENZ-204,HPLC-03,Analyst_A,Released
S00015,B2026-0015,842.7,13.07,91.81,92.11,HPLC-ENZ-204,HPLC-02,Analyst_B,Released
S00016,B2026-0016,887.1,12.94,96.37,96.53,HPLC-ENZ-204,HPLC-01,Analyst_D,Released
S00017,B2026-0017,779.3,12,93.32,93.36,HPLC-ENZ-204,HPLC-02,Analyst_C,Released
S00018,B2026-0018,863.1,10.77,94.31,93.86,HPLC-ENZ-204,HPLC-01,Analyst_B,Released
S00019,B2026-0019,729.2,12.69,93.41,94.6,HPLC-ENZ-204,HPLC-02,Analyst_B,Released
S00020,B2026-0020,792.2,12.23,92.88,92.15,HPLC-ENZ-204,HPLC-03,Analyst_D,Hold
S00021,B2026-0021,706.3,10.04,91.48,91.78,HPLC-ENZ-204,HPLC-03,Analyst_C,Released
S00022,B2026-0022,747.5,13.16,95.55,95.32,HPLC-ENZ-204,HPLC-02,Analyst_C,Released
S00023,B2026-0023,745.5,13.75,94.42,95.65,HPLC-ENZ-204,HPLC-02,Analyst_D,Released
S00024,B2026-0024,745.5,15.79,94.29,93.66,HPLC-ENZ-204,HPLC-03,Analyst_A,Released
