batch_id,temperature_C_avg,pH_avg,dissolved_oxygen_pct_avg,agitation_rpm_avg,airflow_vvm_avg,feed_rate_L_hr_avg,fermentation_time_hr,inoculum_age_hr,substrate_concentration_g_L,yield_pct,deviation_flag
B2026-0001,29.59,5.66,20.58,369.5,1.3,2.91,71.9,28.1,40.1,81.31,1
B2026-0002,29.97,5.67,17.86,574.5,1.16,3.83,69.0,19.9,37.1,88.57,1
B2026-0003,30.2,5.4,32.88,395.2,1.14,2.79,75.1,24.1,48.5,83.54,0
B2026-0004,29.29,5.13,41.0,424.0,0.95,3.27,78.5,19.8,40.0,82.68,0
B2026-0005,30.51,5.76,31.89,348.8,0.84,3.34,69.9,19.9,40.9,86.72,0
B2026-0006,30.04,5.45,13.92,513.8,1.15,4.28,74.2,17.7,39.7,81.79,1
B2026-0007,28.68,5.77,30.47,481.6,1.21,3.2,70.9,20.5,30.5,79.23,0
B2026-0008,28.63,5.24,30.7,436.3,0.97,2.06,73.6,21.3,35.2,68.23,0
B2026-0009,29.99,5.53,48.77,345.9,1.19,3.68,79.0,16.9,47.8,88.42,0
B2026-0010,29.85,5.85,20.34,431.6,1.21,3.02,74.3,19.5,29.3,86.68,1
B2026-0011,29.93,5.93,28.87,358.3,0.81,3.42,64.0,17.6,37.4,88.95,0
B2026-0012,29.98,5.95,45.65,500.4,1.04,3.35,74.0,29.2,39.6,83.21,0
B2026-0013,30.16,5.34,35.6,464.5,1.27,3.25,77.5,19.6,52.5,88.06,0
B2026-0014,30.66,6.1,36.51,425.2,1.27,3.83,71.0,26.2,46.6,88.79,0
B2026-0015,29.22,5.52,32.92,286.0,0.99,2.56,76.5,19.2,38.7,85.06,0
B2026-0016,29.18,6.02,34.64,365.9,1.23,3.12,68.9,21.0,49.8,85.42,0
B2026-0017,29.23,5.8,38.22,457.8,1.38,3.78,65.3,14.7,37.6,83.51,0
B2026-0018,30.2,5.32,25.52,486.7,1.34,3.06,72.6,18.2,48.1,88.48,0
B2026-0019,30.87,5.69,39.02,481.0,1.18,2.52,64.1,20.8,33.8,79.3,0
B2026-0020,29.7,5.93,21.02,332.4,1.12,3.77,70.9,26.3,48.4,83.25,1
B2026-0021,28.25,6.01,34.63,436.6,1.09,4.02,77.8,20.9,39.6,73.49,0
B2026-0022,28.81,5.75,33.43,475.9,1.28,3.38,63.4,25.5,35.8,80.01,0
B2026-0023,29.42,6.34,27.07,328.8,1.24,2.32,66.2,22.6,40.7,82.12,0
B2026-0024,29.61,6.15,31.82,419.6,1.31,3.79,67.4,26.5,43.7,83.06,0
B2026-0025,29.71,5.71,27.02,435.1,1.22,2.49,71.7,19.8,39.0,89.59,0
B2026-0026,30.03,6.06,23.43,403.5,1.35,3.57,70.4,29.6,45.3,84.75,1
B2026-0027,29.78,6.48,29.17,318.1,1.22,2.91,78.3,18.1,38.5,83.04,0
B2026-0028,30.73,6.49,23.17,402.1,1.34,2.76,76.3,16.9,45.7,86.05,1
B2026-0029,29.53,5.37,34.58,402.0,1.36,3.16,74.2,15.2,44.7,81.71,0
B2026-0030,29.4,5.48,22.8,411.9,1.06,3.3,72.7,29.3,41.6,81.89,1
B2026-0031,30.34,6.32,37.7,389.0,0.87,3.05,73.8,23.3,39.4,77.27,0
B2026-0032,28.93,5.43,22.55,395.6,1.48,3.72,68.1,18.7,42.9,83.8,1
B2026-0033,30.27,5.34,27.47,417.8,1.25,3.15,75.9,25.0,45.3,85.79,0
B2026-0034,30.07,5.63,27.0,444.3,0.89,3.94,67.0,22.8,54.4,91.27,0
B2026-0035,29.9,5.95,42.6,403.3,1.07,3.55,75.8,27.9,47.6,81.6,0
B2026-0036,31.11,5.76,34.64,397.5,1.34,3.02,77.3,13.8,47.9,83.27,0
B2026-0037,29.56,5.57,30.31,425.1,1.15,2.92,72.9,18.9,60.5,86.67,0
B2026-0038,31.44,5.56,35.99,314.3,1.11,2.49,71.2,18.1,45.1,79.89,1
B2026-0039,29.84,5.55,15.14,446.2,1.45,3.56,73.8,12.1,44.9,78.86,1
B2026-0040,29.11,5.49,31.65,420.0,1.01,3.2,59.1,24.2,46.2,85.4,0
B2026-0041,30.05,6.6,47.98,422.2,1.06,2.1,73.4,18.9,35.9,86.5,0
B2026-0042,29.25,5.9,33.06,472.8,1.24,3.11,71.5,23.0,39.3,83.11,0
B2026-0043,29.47,6.11,32.54,312.6,1.27,2.9,71.8,29.4,39.0,84.49,0
B2026-0044,30.28,5.63,36.39,311.4,1.29,4.27,75.2,18.6,45.9,80.74,0
B2026-0045,30.39,5.73,39.16,435.1,1.36,2.46,71.7,18.3,41.0,80.73,0
B2026-0046,29.56,5.55,16.02,419.6,1.24,2.61,66.9,20.5,42.8,77.02,1
B2026-0047,30.69,4.87,18.54,429.4,1.29,4.01,71.4,23.9,48.5,73.4,1
B2026-0048,30.81,5.32,33.68,394.6,1.15,4.15,72.3,17.7,47.2,85.5,0
B2026-0049,31.01,5.17,26.28,456.5,1.21,2.99,72.5,17.5,41.0,81.92,1
B2026-0050,30.37,5.01,42.5,471.3,1.22,3.05,72.7,24.2,38.0,83.36,0
B2026-0051,30.95,5.38,29.48,446.6,1.24,3.74,76.7,21.5,48.8,81.11,0
B2026-0052,28.68,6.26,16.52,405.7,1.34,2.12,67.1,11.8,46.6,74.72,0
B2026-0053,29.78,5.78,21.86,304.1,1.3,2.38,72.8,15.1,32.4,81.99,1
B2026-0054,29.39,6.25,10.0,462.3,1.21,3.25,77.8,26.0,40.1,73.54,1
B2026-0055,30.08,5.94,30.13,487.2,1.05,4.25,64.2,21.6,43.0,83.0,0
B2026-0056,29.6,6.07,30.49,455.5,1.21,3.16,72.8,17.0,46.7,85.59,0
B2026-0057,29.88,5.48,28.6,371.6,1.19,3.46,69.4,19.3,47.5,84.55,0
B2026-0058,31.32,5.98,40.63,457.1,1.23,4.02,70.3,20.1,43.7,82.98,1
B2026-0059,29.88,6.06,41.59,467.3,1.6,4.56,67.9,22.9,45.5,85.29,1
B2026-0060,30.29,5.6,30.64,505.7,1.11,3.08,71.2,14.6,42.4,81.65,0
B2026-0061,29.84,6.0,14.92,371.8,1.28,3.39,80.3,16.6,38.0,85.03,1
B2026-0062,30.05,6.0,36.94,407.5,1.39,4.4,66.3,21.1,40.4,88.45,1
B2026-0063,30.0,5.61,36.44,461.1,1.22,2.56,66.7,19.6,42.1,89.53,0
B2026-0064,30.31,5.41,34.48,423.2,1.62,3.97,66.1,22.3,41.8,88.06,0
B2026-0065,30.82,5.39,39.85,358.5,1.13,2.84,79.8,15.1,30.7,76.74,0
B2026-0066,31.15,5.83,22.68,442.8,1.26,3.46,69.9,21.4,39.6,83.19,1
B2026-0067,30.22,5.91,48.07,451.8,1.06,3.27,71.9,24.4,42.3,84.63,0
B2026-0068,30.41,5.52,24.32,424.8,1.14,2.87,70.2,21.9,40.3,79.24,0
B2026-0069,29.19,5.81,37.99,432.1,1.24,2.86,67.8,20.6,40.5,85.23,0
B2026-0070,29.94,6.0,18.5,405.8,1.35,3.55,70.9,19.6,44.9,89.92,1
B2026-0071,30.66,6.02,24.56,501.3,1.26,3.95,83.1,16.7,35.5,80.46,0
B2026-0072,30.61,6.34,44.13,370.5,1.43,3.33,78.3,19.7,32.2,81.69,0
B2026-0073,30.15,6.25,29.91,387.7,1.18,3.44,68.2,25.0,39.9,81.47,0
B2026-0074,30.62,5.45,38.72,420.6,1.14,3.71,74.9,19.5,46.6,89.17,0
B2026-0075,30.34,6.39,33.9,468.3,1.69,2.87,68.3,16.4,52.1,84.8,0
B2026-0076,30.84,5.61,31.16,337.6,1.27,3.81,64.0,18.0,46.7,81.1,0
B2026-0077,30.2,6.17,42.91,347.9,1.07,3.85,76.6,20.8,33.2,83.35,0
B2026-0078,29.75,5.82,30.11,307.9,1.08,4.83,77.2,18.5,40.6,81.4,1
B2026-0079,30.24,5.66,17.75,421.8,1.03,3.19,76.7,21.9,43.5,89.58,1
B2026-0080,27.95,5.17,25.57,358.5,1.37,3.15,69.9,22.1,43.1,72.33,0
B2026-0081,30.27,5.74,36.41,398.8,1.13,3.82,71.2,23.6,45.2,86.24,0
B2026-0082,27.5,5.25,35.16,456.4,1.22,3.85,75.4,25.7,36.5,72.07,0
B2026-0083,28.79,6.14,19.46,384.7,1.19,3.11,73.8,24.0,42.4,79.77,1
B2026-0084,30.32,6.33,26.21,432.7,1.33,3.18,70.2,16.3,44.5,87.47,0
