batch_id,hour,pH,temperature_C,dissolved_oxygen_pct,feed_rate_L_hr,biomass_g_L
B2026-0001,0,6.03,29.58,31.78,1.07,3.98
B2026-0001,6,6.08,29.55,35.34,1.06,11.25
B2026-0001,12,5.97,29.75,29.5,1.41,17.01
B2026-0001,18,5.87,29.72,28.96,1.57,21.9
B2026-0001,24,5.8,29.85,28.4,1.68,26.36
B2026-0001,30,5.7,29.44,29.39,1.97,31.98
B2026-0001,36,5.75,29.59,26.36,1.86,31.11
B2026-0001,42,5.71,29.81,25.43,2.24,33.86
B2026-0001,48,5.66,29.45,22.31,2.55,35.15
B2026-0001,54,5.65,29.62,22.13,2.9,34.63
B2026-0001,60,5.67,29.68,19.08,3.11,33.76
B2026-0001,66,5.55,29.85,20.41,3.16,33.53
B2026-0001,72,5.59,29.71,16.21,3.31,34.93
B2026-0002,0,6.02,29.87,32.12,1.37,3.44
B2026-0002,6,6.04,30.16,32.22,1.56,13.92
B2026-0002,12,5.94,29.78,30.04,1.87,22.97
B2026-0002,18,5.99,30.07,27.61,2.13,22.09
B2026-0002,24,5.75,29.84,25.43,2.11,26.01
B2026-0002,30,5.8,29.94,22.62,2.58,31.73
B2026-0002,36,5.81,29.88,22.22,2.87,29.65
B2026-0002,42,5.68,30.12,19.94,3.0,31.93
B2026-0002,48,5.7,29.67,19.11,3.49,33.52
B2026-0002,54,5.78,30.16,20.51,3.98,34.59
B2026-0002,60,5.62,30.11,14.91,3.91,32.92
B2026-0002,66,5.59,29.87,13.07,4.2,34.0
B2026-0002,72,5.41,29.75,10.56,4.3,35.05
B2026-0003,0,5.76,30.35,48.38,1.11,4.91
B2026-0003,6,5.72,30.36,47.13,1.21,14.69
B2026-0003,12,5.52,30.15,43.1,1.49,21.44
B2026-0003,18,5.54,30.41,39.78,1.4,23.24
B2026-0003,24,5.56,29.96,41.84,1.8,28.41
B2026-0003,30,5.51,30.19,38.9,2.11,24.89
B2026-0003,36,5.44,30.2,35.2,2.06,30.62
B2026-0003,42,5.42,30.2,37.05,2.25,31.31
B2026-0003,48,5.4,30.19,30.73,2.52,32.17
B2026-0003,54,5.45,30.28,34.97,2.53,32.9
B2026-0003,60,5.26,30.09,33.55,3.02,32.17
B2026-0003,66,5.26,30.18,30.63,2.82,31.8
B2026-0003,72,5.28,29.9,26.98,3.23,35.06
B2026-0004,0,5.47,29.24,56.69,1.18,3.03
B2026-0004,6,5.44,29.35,56.85,1.46,14.61
B2026-0004,12,5.36,29.22,51.36,1.56,17.57
B2026-0004,18,5.43,29.43,49.64,1.87,23.93
B2026-0004,24,5.36,29.09,48.38,2.01,27.76
B2026-0004,30,5.24,28.92,44.92,2.23,29.24
B2026-0004,36,5.33,29.38,45.66,2.45,32.46
