batch_id,product_id,organism,site,fermenter,start_date,raw_material_lot,supplier,planned_volume_L,estimated_batch_cost_usd,production_status
B2026-0001,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-04,2026-04-27,RM-3965,Supplier_B,4000,52482.0,Quality Review
B2026-0002,ENZ-AN-001,Aspergillus niger,Wilmington,F-02,2026-02-27,RM-1203,Supplier_A,4000,45855.0,Quality Review
B2026-0003,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-04,2026-02-20,RM-7558,Supplier_B,5000,48663.0,Released
B2026-0004,ENZ-AN-001,Aspergillus niger,Rochester,F-04,2026-03-12,RM-5773,Supplier_B,4000,44035.0,Released
B2026-0005,ENZ-AN-001,Aspergillus niger,Wilmington,F-03,2026-05-12,RM-5062,Supplier_C,4000,53112.0,Released
B2026-0006,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-04,2026-02-23,RM-9053,Supplier_A,3000,54767.0,Quality Review
B2026-0007,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-03,2026-07-21,RM-3823,Supplier_A,5000,54615.0,Released
B2026-0008,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-03,2026-04-16,RM-6151,Supplier_B,4000,52080.0,Released
B2026-0009,ENZ-AN-001,Aspergillus niger,Wilmington,F-02,2026-07-09,RM-7703,Supplier_A,4000,41983.0,Released
B2026-0010,ENZ-AN-001,Aspergillus niger,Rochester,F-04,2026-05-31,RM-6475,Supplier_A,3000,47970.0,Quality Review
B2026-0011,ENZ-AN-001,Aspergillus niger,Wilmington,F-03,2026-03-15,RM-2871,Supplier_A,5000,49353.0,Released
B2026-0012,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-04,2026-02-20,RM-7133,Supplier_A,5000,49379.0,Released
B2026-0013,ENZ-AN-001,Aspergillus niger,Rochester,F-02,2026-06-13,RM-7689,Supplier_A,4000,52487.0,Released
B2026-0014,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-04,2026-03-14,RM-2101,Supplier_A,4000,61266.0,Released
B2026-0015,ENZ-AN-001,Aspergillus niger,Wilmington,F-01,2026-02-24,RM-2488,Supplier_A,5000,57279.0,Released
B2026-0016,ENZ-AN-001,Aspergillus niger,Wilmington,F-01,2026-07-24,RM-7073,Supplier_A,5000,45581.0,Released
B2026-0017,ENZ-AN-001,Aspergillus niger,Rochester,F-03,2026-04-17,RM-2070,Supplier_A,4000,56410.0,Released
B2026-0018,ENZ-AN-001,Aspergillus niger,Wilmington,F-03,2026-01-11,RM-8922,Supplier_B,4000,56162.0,Released
B2026-0019,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-04,2026-04-19,RM-1985,Supplier_A,5000,46761.0,Released
