batch_id,product_id,organism,site,fermenter,start_date,raw_material_lot,supplier,planned_volume_L,production_status,estimated_batch_cost_usd,temperature_C_avg,pH_avg,dissolved_oxygen_pct_avg,agitation_rpm_avg,airflow_vvm_avg,feed_rate_L_hr_avg,fermentation_time_hr,inoculum_age_hr,substrate_concentration_g_L,yield_pct,deviation_flag,sample_id,enzyme_activity_U_mL,protein_concentration_mg_mL,purity_pct,hplc_main_peak_pct,qc_status,analytical_method,instrument_id,analyst,predicted_quality_risk,anomaly_flag
B2026-0001,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-04,2026-04-27,RM-3965,Supplier_B,4000,Quality Review,52482.0,29.59,5.66,20.58,369.5,1.3,2.91,71.9,28.1,40.1,81.31,1,S00001,806.6,12.1,93.02,94.72,Hold,HPLC-ENZ-204,HPLC-01,Analyst_A,1.0,0
B2026-0002,ENZ-AN-001,Aspergillus niger,Wilmington,F-02,2026-02-27,RM-1203,Supplier_A,4000,Quality Review,45855.0,29.97,5.67,17.86,574.5,1.16,3.83,69.0,19.9,37.1,88.57,1,S00002,886.8,12.01,94.46,93.89,Hold,HPLC-ENZ-204,HPLC-03,Analyst_A,0.902,0
B2026-0003,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-04,2026-02-20,RM-7558,Supplier_B,5000,Released,48663.0,30.2,5.4,32.88,395.2,1.14,2.79,75.1,24.1,48.5,83.54,0,S00003,814.5,11.25,94.63,94.84,Released,HPLC-ENZ-204,HPLC-02,Analyst_A,0.0,0
B2026-0004,ENZ-AN-001,Aspergillus niger,Rochester,F-04,2026-03-12,RM-5773,Supplier_B,4000,Released,44035.0,29.29,5.13,41.0,424.0,0.95,3.27,78.5,19.8,40.0,82.68,0,S00004,759.2,12.31,94.0,93.47,Released,HPLC-ENZ-204,HPLC-03,Analyst_C,0.02,0
B2026-0005,ENZ-AN-001,Aspergillus niger,Wilmington,F-03,2026-05-12,RM-5062,Supplier_C,4000,Released,53112.0,30.51,5.76,31.89,348.8,0.84,3.34,69.9,19.9,40.9,86.72,0,S00005,821.8,11.77,93.76,95.01,Released,HPLC-ENZ-204,HPLC-03,Analyst_C,0.012,0
B2026-0006,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-04,2026-02-23,RM-9053,Supplier_A,3000,Quality Review,54767.0,30.04,5.45,13.92,513.8,1.15,4.28,74.2,17.7,39.7,81.79,1,S00006,742.4,11.19,92.28,92.9,Hold,HPLC-ENZ-204,HPLC-02,Analyst_D,0.798,0
B2026-0007,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-03,2026-07-21,RM-3823,Supplier_A,5000,Released,54615.0,28.68,5.77,30.47,481.6,1.21,3.2,70.9,20.5,30.5,79.23,0,S00007,715.1,14.96,91.64,91.16,Released,HPLC-ENZ-204,HPLC-03,Analyst_A,0.0,0
B2026-0008,ENZ-AN-001,Aspergillus niger,Cedar Rapids,F-03,2026-04-16,RM-6151,Supplier_B,4000,Released,52080.0,28.63,5.24,30.7,436.3,0.97,2.06,73.6,21.3,35.2,68.23,0,S00008,686.2,13.11,91.21,91.57,Released,HPLC-ENZ-204,HPLC-01,Analyst_A,0.0,1
B2026-0009,ENZ-AN-001,Aspergillus niger,Wilmington,F-02,2026-07-09,RM-7703,Supplier_A,4000,Released,41983.0,29.99,5.53,48.77,345.9,1.19,3.68,79.0,16.9,47.8,88.42,0,S00009,809.4,13.24,94.33,94.51,Released,HPLC-ENZ-204,HPLC-03,Analyst_B,0.0,0
B2026-0010,ENZ-AN-001,Aspergillus niger,Rochester,F-04,2026-05-31,RM-6475,Supplier_A,3000,Quality Review,47970.0,29.85,5.85,20.34,431.6,1.21,3.02,74.3,19.5,29.3,86.68,1,S00010,857.8,13.65,94.07,93.71,Hold,HPLC-ENZ-204,HPLC-02,Analyst_C,0.994,0
